,model,star,num_ratings,reviews,ram,storage,display,camera,battery,price
0,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,"1,89,240 Ratings","15,027 Reviews",4 GB RAM ,64 GB ROM,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,"<div class=""_30jeq3 _1_WHN1"">₹9,499</div>"
1,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"1,75,810 Ratings","10,901 Reviews",4 GB RAM ,128 GB RO,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹12,499</div>"
2,"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,"1,75,810 Ratings","10,901 Reviews",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹11,499</div>"
3,"realme Narzo 50i (Mint Green, 32 GB)",4.5,"37,384 Ratings","1,548 Reviews",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹7,499</div>"
4,"realme Narzo 50i (Carbon Black, 32 GB)",4.5,"37,384 Ratings","1,548 Reviews",2 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹7,499</div>"
5,"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,"1,75,810 Ratings","10,901 Reviews",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹11,499</div>"
6,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,"1,75,810 Ratings","10,901 Reviews",4 GB RAM ,128 GB RO,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹12,499</div>"
7,"realme C21Y (Cross Blue, 32 GB)",4.6,"35,185 Ratings","1,093 Reviews",3 GB RAM ,32 GB ROM,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹9,499</div>"
8,"realme Narzo 50i (Carbon Black, 64 GB)",4.3,"23,145 Ratings","1,188 Reviews",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹8,999</div>"
9,"realme Narzo 50i (Mint Green, 64 GB)",4.3,"23,145 Ratings","1,188 Reviews",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,"<div class=""_30jeq3 _1_WHN1"">₹8,999</div>"
